id,type,age_group,internet_control,knows_facebook_age_req,aware_of_child_cyberbullying,concerns_about_device_use,digital_literacy,communicates_about_safety,child_age_group
P0704,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression; Eating Disorders,Low,True,13-17
P0705,Parent,35-44,Yes,False,Unsure,None,Low,False,13-17
P0706,Parent,45-54,Want to but struggle,True,No,Depression,Low,False,9-12
P0707,Parent,25-34,Want to but struggle,False,Unsure,Insomnia; Academic Performance,Low,False,13-17
P0708,Parent,35-44,No,True,No,Insomnia,Medium,True,13-17
P0709,Parent,25-34,Yes,False,No,Insomnia; Academic Performance; Eating Disorders,Medium,False,9-12
P0710,Parent,35-44,Yes,True,No,None,High,False,9-12
P0711,Parent,35-44,Yes,True,Unsure,Insomnia,High,True,13-17
P0712,Parent,45-54,Yes,True,Unsure,Eating Disorders,Medium,False,13-17
P0713,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P0714,Parent,55+,Want to but struggle,True,Unsure,None,Low,False,13-17
P0715,Parent,35-44,Yes,True,No,None,Medium,True,9-12
P0716,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Medium,True,13-17
P0717,Parent,25-34,No,True,No,Insomnia,Low,False,9-12
P0718,Parent,35-44,Yes,True,No,Insomnia,Medium,False,9-12
P0719,Parent,45-54,Want to but struggle,False,No,Insomnia,Low,True,13-17
P0720,Parent,35-44,Want to but struggle,False,No,None,Low,False,9-12
P0721,Parent,45-54,Want to but struggle,True,Yes,Depression,Medium,False,9-12
P0722,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P0723,Parent,35-44,Want to but struggle,False,Unsure,None,Low,True,9-12
P0724,Parent,35-44,Yes,False,No,Depression,Medium,True,9-12
P0725,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Medium,True,9-12
P0726,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Medium,True,13-17
P0727,Parent,35-44,Want to but struggle,False,Unsure,None,Low,False,9-12
P0728,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance; Eating Disorders,High,False,13-17
P0729,Parent,55+,Want to but struggle,True,No,Depression,Low,False,9-12
P0730,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P0731,Parent,35-44,Yes,True,No,Insomnia,High,True,13-17
P0732,Parent,35-44,Yes,True,Unsure,Aggression,Medium,False,13-17
P0733,Parent,45-54,Yes,True,Unsure,Depression; Aggression,High,False,13-17
P0734,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Low,False,13-17
P0735,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,True,13-17
P0736,Parent,45-54,Want to but struggle,False,No,Aggression,Low,True,13-17
P0737,Parent,35-44,Yes,False,Unsure,None,Medium,True,13-17
P0738,Parent,45-54,Yes,True,Unsure,None,Medium,True,13-17
P0739,Parent,35-44,Yes,True,No,Insomnia,Medium,True,13-17
P0740,Parent,45-54,Want to but struggle,True,No,None,Low,True,9-12
P0741,Parent,25-34,Yes,False,No,Academic Performance,Medium,True,13-17
P0742,Parent,35-44,No,True,No,Depression,Low,False,9-12
P0743,Parent,25-34,No,True,No,None,Low,True,13-17
P0744,Parent,35-44,Yes,False,No,Insomnia; Academic Performance; Eating Disorders,Medium,True,13-17
P0745,Parent,35-44,Yes,True,Unsure,Insomnia,Medium,True,13-17
P0746,Parent,35-44,Yes,True,No,None,High,False,13-17
P0747,Parent,25-34,Yes,True,Unsure,Depression,Medium,True,13-17
P0748,Parent,35-44,Yes,True,No,Insomnia; Depression,Medium,False,9-12
P0749,Parent,45-54,Want to but struggle,True,Unsure,Depression,Medium,True,13-17
P0750,Parent,35-44,Want to but struggle,True,No,None,Low,False,9-12
P0751,Parent,35-44,Want to but struggle,True,No,Depression,Low,True,13-17
P0752,Parent,45-54,Yes,False,No,Academic Performance,Low,True,13-17
P0753,Parent,45-54,No,True,No,Academic Performance,Low,False,13-17
P0754,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,True,13-17
P0755,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,Medium,False,13-17
P0756,Parent,35-44,Yes,False,No,Depression; Eating Disorders,Low,True,13-17
P0757,Parent,35-44,No,True,No,Insomnia,Medium,False,9-12
P0758,Parent,35-44,Yes,False,Unsure,Insomnia; Depression,Low,True,13-17
P0759,Parent,55+,Yes,True,No,Insomnia,Medium,False,13-17
P0760,Parent,25-34,Yes,True,No,Depression,Medium,True,9-12
P0761,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P0762,Parent,35-44,Want to but struggle,True,No,None,Low,False,13-17
P0763,Parent,45-54,Yes,True,No,Aggression,Medium,True,13-17
P0764,Parent,35-44,Want to but struggle,True,Unsure,None,Low,True,13-17
P0765,Parent,45-54,Yes,True,No,None,High,False,9-12
P0766,Parent,35-44,No,True,No,Academic Performance,Low,True,13-17
P0767,Parent,35-44,Yes,True,No,Insomnia,Medium,True,9-12
P0768,Parent,25-34,Yes,True,No,None,Medium,True,9-12
P0769,Parent,35-44,Want to but struggle,True,No,None,Low,False,9-12
P0770,Parent,35-44,No,False,Unsure,None,Low,True,9-12
P0771,Parent,35-44,Yes,False,No,Academic Performance,Low,False,13-17
P0772,Parent,45-54,Want to but struggle,False,Unsure,Insomnia,Low,True,13-17
P0773,Parent,25-34,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P0774,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,True,9-12
P0775,Parent,35-44,No,True,No,Insomnia; Depression; Aggression,Low,True,13-17
P0776,Parent,45-54,Want to but struggle,False,Unsure,Depression; Aggression,Low,True,13-17
P0777,Parent,35-44,Want to but struggle,False,No,Insomnia,Low,False,13-17
P0778,Parent,35-44,Want to but struggle,True,Unsure,Depression,Medium,False,13-17
P0779,Parent,45-54,Want to but struggle,True,Unsure,None,Low,False,9-12
P0780,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance,Low,False,13-17
P0781,Parent,45-54,Yes,True,No,None,Medium,False,13-17
P0782,Parent,45-54,Yes,False,No,Eating Disorders,Low,False,13-17
P0783,Parent,45-54,Yes,True,No,Academic Performance; Depression,Medium,True,13-17
P0784,Parent,35-44,Want to but struggle,True,No,Academic Performance; Eating Disorders,Low,True,13-17
P0785,Parent,35-44,Want to but struggle,False,No,None,Low,False,13-17
P0786,Parent,25-34,Yes,True,No,None,Medium,False,13-17
P0787,Parent,45-54,Yes,True,No,Academic Performance,High,False,9-12
P0788,Parent,35-44,Want to but struggle,False,Unsure,Insomnia; Academic Performance,Medium,True,9-12
P0789,Parent,35-44,Yes,False,No,Insomnia; Academic Performance; Eating Disorders,Low,True,13-17
P0790,Parent,35-44,Want to but struggle,False,Unsure,Insomnia,Low,False,9-12
P0791,Parent,45-54,Yes,True,Unsure,Insomnia; Aggression,High,True,13-17
P0792,Parent,35-44,Yes,True,Unsure,None,Medium,False,13-17
P0793,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,False,9-12
P0794,Parent,35-44,Yes,False,No,None,Low,False,9-12
P0795,Parent,45-54,Want to but struggle,True,No,Insomnia; Academic Performance,Low,False,13-17
P0796,Parent,45-54,Yes,True,No,None,Medium,False,9-12
P0797,Parent,45-54,Yes,True,Yes,None,Medium,False,13-17
P0798,Parent,45-54,Want to but struggle,False,No,Depression,Low,False,13-17
P0799,Parent,35-44,Want to but struggle,True,Unsure,Depression; Eating Disorders,Low,True,13-17
P0800,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance; Depression; Eating Disorders,Low,False,13-17
P0801,Parent,45-54,Yes,True,No,None,High,True,9-12
P0802,Parent,35-44,Want to but struggle,True,No,None,Medium,True,13-17
P0803,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,9-12
P0804,Parent,25-34,Yes,True,No,None,Medium,True,9-12
P0805,Parent,35-44,Yes,True,No,Academic Performance; Eating Disorders,Medium,False,13-17
P0806,Parent,35-44,No,False,Unsure,Academic Performance,Medium,True,13-17
P0807,Parent,25-34,Yes,False,No,None,Low,True,13-17
P0808,Parent,55+,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Low,False,13-17
P0809,Parent,35-44,Yes,True,No,Eating Disorders,Medium,True,13-17
P0810,Parent,35-44,Want to but struggle,False,No,Academic Performance,Medium,True,9-12
P0811,Parent,45-54,No,False,No,Insomnia; Depression,Low,True,9-12
P0812,Parent,45-54,Yes,False,No,None,Low,False,13-17
P0813,Parent,35-44,Yes,True,Unsure,Insomnia,High,False,13-17
P0814,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Medium,False,13-17
P0815,Parent,35-44,Want to but struggle,False,No,Depression,Low,True,13-17
P0816,Parent,45-54,Yes,True,No,Insomnia; Academic Performance; Aggression,High,False,13-17
P0817,Parent,45-54,Want to but struggle,False,Unsure,Insomnia,Medium,False,9-12
P0818,Parent,35-44,No,True,Unsure,Eating Disorders,Low,True,13-17
P0819,Parent,35-44,Yes,False,Unsure,Aggression,Low,False,9-12
P0820,Parent,45-54,Want to but struggle,True,No,None,Medium,False,13-17
P0821,Parent,35-44,Want to but struggle,False,No,Academic Performance,Low,False,13-17
P0822,Parent,35-44,Yes,True,Unsure,Insomnia; Depression; Eating Disorders,Medium,True,9-12
P0823,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,True,13-17
P0824,Parent,35-44,Yes,False,Unsure,None,Low,True,13-17
P0825,Parent,35-44,Want to but struggle,True,No,Eating Disorders,Low,False,13-17
P0826,Parent,45-54,Want to but struggle,False,No,None,Low,False,9-12
P0827,Parent,55+,Yes,True,Unsure,None,High,False,13-17
P0828,Parent,35-44,Yes,False,Unsure,Depression,Low,True,13-17
P0829,Parent,45-54,Yes,False,No,Insomnia,Medium,False,13-17
P0830,Parent,35-44,Want to but struggle,False,No,Insomnia; Eating Disorders,Low,True,13-17
P0831,Parent,25-34,Yes,False,No,Insomnia,Low,True,13-17
P0832,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Medium,False,13-17
P0833,Parent,35-44,Want to but struggle,False,No,Academic Performance,Medium,True,13-17
P0834,Parent,35-44,No,False,Yes,Eating Disorders,Medium,False,13-17
P0835,Parent,45-54,Yes,False,Unsure,None,Medium,True,9-12
P0836,Parent,35-44,Want to but struggle,False,No,Insomnia; Aggression,Medium,True,9-12
P0837,Parent,45-54,Yes,False,No,Academic Performance,Medium,False,13-17
P0838,Parent,45-54,No,True,No,None,Low,True,9-12
P0839,Parent,45-54,Yes,True,Yes,None,High,False,13-17
P0840,Parent,45-54,Want to but struggle,False,No,Depression,Low,True,13-17
P0841,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,9-12
P0842,Parent,25-34,Yes,True,No,None,Medium,True,9-12
P0843,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Low,True,13-17
P0844,Parent,25-34,Yes,True,No,Insomnia; Academic Performance; Depression,High,False,13-17
P0845,Parent,45-54,No,False,Unsure,Insomnia; Academic Performance; Depression; Aggression,Medium,True,9-12
P0846,Parent,35-44,Want to but struggle,True,No,None,Medium,True,9-12
P0847,Parent,45-54,No,True,No,Insomnia; Eating Disorders,Low,True,13-17
P0848,Parent,45-54,Want to but struggle,False,No,None,Medium,True,13-17
P0849,Parent,45-54,Want to but struggle,False,No,Insomnia; Eating Disorders; Aggression,Low,False,13-17
P0850,Parent,25-34,Yes,False,No,Insomnia; Academic Performance,Low,True,13-17
P0851,Parent,35-44,Want to but struggle,False,Unsure,None,Low,True,9-12
P0852,Parent,35-44,Want to but struggle,False,Unsure,Insomnia,Low,False,9-12
P0853,Parent,45-54,Yes,True,No,None,High,True,13-17
P0854,Parent,35-44,No,False,No,Eating Disorders,Low,True,13-17
P0855,Parent,45-54,Yes,False,No,Academic Performance,Medium,True,13-17
P0856,Parent,25-34,Yes,False,No,Insomnia,Low,False,13-17
P0857,Parent,35-44,Yes,False,Unsure,None,Medium,True,9-12
P0858,Parent,45-54,Yes,False,No,Academic Performance,Low,False,13-17
P0859,Parent,55+,Want to but struggle,False,No,Academic Performance; Depression,Low,True,9-12
P0860,Parent,35-44,Want to but struggle,False,No,Depression,Low,True,13-17
P0861,Parent,35-44,Want to but struggle,False,No,None,Low,True,13-17
P0862,Parent,35-44,No,False,Unsure,None,Low,True,9-12
P0863,Parent,45-54,Yes,True,Unsure,Insomnia; Academic Performance,High,True,9-12
P0864,Parent,35-44,Want to but struggle,False,No,Insomnia,Low,False,13-17
P0865,Parent,35-44,No,True,Yes,Eating Disorders,Low,True,13-17
P0866,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P0867,Parent,35-44,Want to but struggle,True,No,Depression,Medium,True,13-17
P0868,Parent,45-54,Yes,False,No,Insomnia; Academic Performance; Depression,Low,False,13-17
P0869,Parent,35-44,Yes,True,Unsure,None,High,True,9-12
P0870,Parent,45-54,Want to but struggle,False,No,None,Low,True,13-17
P0871,Parent,25-34,Want to but struggle,True,Unsure,Eating Disorders,Medium,False,9-12
P0872,Parent,45-54,Yes,True,No,None,Medium,True,9-12
P0873,Parent,45-54,Want to but struggle,False,No,Academic Performance; Aggression,Low,True,13-17
P0874,Parent,35-44,Want to but struggle,True,No,None,Low,True,9-12
P0875,Parent,45-54,Want to but struggle,False,Unsure,Academic Performance,Medium,True,13-17
P0876,Parent,35-44,Yes,True,No,Insomnia; Academic Performance; Depression,Medium,False,13-17
P0877,Parent,25-34,Want to but struggle,True,No,Academic Performance,Medium,True,13-17
P0878,Parent,55+,Want to but struggle,False,No,Eating Disorders,Low,True,13-17
P0879,Parent,35-44,Yes,True,No,None,Medium,True,9-12
P0880,Parent,25-34,Want to but struggle,True,No,None,Low,True,13-17
P0881,Parent,45-54,Yes,True,No,None,Medium,False,13-17
P0882,Parent,35-44,No,False,Unsure,Insomnia; Academic Performance,Low,False,13-17
P0883,Parent,45-54,Yes,True,Unsure,Academic Performance; Eating Disorders,Medium,True,13-17
P0884,Parent,35-44,Yes,True,Unsure,Insomnia,Medium,True,9-12
P0885,Parent,25-34,Yes,False,No,None,Low,True,9-12
P0886,Parent,35-44,Yes,False,No,Academic Performance; Depression,Low,True,9-12
P0887,Parent,45-54,No,True,No,None,Low,True,13-17
P0888,Parent,35-44,Want to but struggle,True,No,Depression,Low,False,13-17
P0889,Parent,45-54,Yes,True,Unsure,Eating Disorders,High,False,13-17
P0890,Parent,35-44,Yes,False,No,Depression,Medium,False,9-12
P0891,Parent,35-44,Yes,True,No,Eating Disorders,Medium,True,13-17
P0892,Parent,35-44,Yes,True,Unsure,Academic Performance; Aggression,Medium,True,13-17
P0893,Parent,45-54,Yes,True,Unsure,Insomnia; Academic Performance,Medium,True,9-12
P0894,Parent,35-44,Want to but struggle,False,No,None,Low,True,13-17
P0895,Parent,35-44,Yes,True,No,None,High,True,13-17
P0896,Parent,35-44,Yes,False,Unsure,Eating Disorders,Low,True,13-17
P0897,Parent,35-44,Yes,False,Unsure,Aggression,Low,True,13-17
P0898,Parent,25-34,No,True,No,Depression; Aggression,Medium,True,13-17
P0899,Parent,35-44,Yes,False,No,Insomnia,Low,False,9-12
P0900,Parent,45-54,Yes,True,Unsure,Depression; Aggression,High,False,9-12
P0901,Parent,35-44,Want to but struggle,True,No,Academic Performance,Medium,False,9-12
P0902,Parent,45-54,Yes,False,No,Depression; Aggression,Low,False,13-17
P0903,Parent,35-44,Yes,True,Unsure,Depression,High,True,13-17
P0904,Parent,35-44,Yes,True,No,Depression; Eating Disorders,Medium,False,13-17
P0905,Parent,35-44,Yes,False,Unsure,None,Low,False,9-12
P0906,Parent,35-44,Yes,False,No,None,Medium,False,13-17
P0907,Parent,45-54,Want to but struggle,True,No,None,Low,True,13-17
P0908,Parent,25-34,Want to but struggle,False,No,Depression,Medium,False,9-12
P0909,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance; Depression; Aggression,Low,False,13-17
P0910,Parent,35-44,Yes,True,No,Academic Performance; Depression,High,True,9-12
P0911,Parent,25-34,Want to but struggle,True,Unsure,Depression,Low,False,13-17
P0912,Parent,35-44,Want to but struggle,True,No,Depression,Low,True,13-17
P0913,Parent,25-34,Yes,False,Unsure,Insomnia,Low,True,13-17
P0914,Parent,35-44,Yes,False,No,Academic Performance,Low,False,13-17
P0915,Parent,35-44,No,False,No,Depression; Eating Disorders,Low,False,13-17
P0916,Parent,45-54,Want to but struggle,False,No,None,Low,True,9-12
P0917,Parent,45-54,Want to but struggle,True,No,Depression,Low,False,13-17
P0918,Parent,35-44,Want to but struggle,True,Unsure,None,Low,False,13-17
P0919,Parent,35-44,No,False,No,Academic Performance,Medium,True,9-12
P0920,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance,Medium,True,13-17
P0921,Parent,45-54,Yes,True,Unsure,Academic Performance; Depression,High,False,13-17
P0922,Parent,35-44,No,False,Unsure,None,Medium,False,13-17
P0923,Parent,35-44,Yes,False,Unsure,Academic Performance,Low,True,13-17
P0924,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,True,9-12
P0925,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,Medium,True,13-17
P0926,Parent,35-44,No,False,No,None,Low,False,13-17
P0927,Parent,35-44,Want to but struggle,False,No,None,Medium,True,13-17
P0928,Parent,35-44,Want to but struggle,True,Yes,None,Low,True,13-17
P0929,Parent,25-34,Yes,False,No,None,Medium,False,13-17
P0930,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance; Depression,High,True,13-17
P0931,Parent,55+,Want to but struggle,True,No,Insomnia; Depression; Eating Disorders,Low,True,9-12
P0932,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,True,13-17
P0933,Parent,25-34,Yes,True,Unsure,Eating Disorders,High,True,13-17
P0934,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,True,13-17
P0935,Parent,35-44,Yes,True,Unsure,Insomnia,High,False,13-17
P0936,Parent,25-34,Yes,True,Unsure,None,Medium,True,13-17
P0937,Parent,45-54,Want to but struggle,True,No,None,Low,True,13-17
P0938,Parent,35-44,Want to but struggle,False,No,None,Medium,True,13-17
P0939,Parent,45-54,Yes,True,No,Insomnia,High,True,13-17
P0940,Parent,35-44,Yes,True,No,Academic Performance; Depression,Medium,True,9-12
P0941,Parent,25-34,Yes,True,No,None,Medium,True,13-17
P0942,Parent,35-44,No,False,Unsure,Insomnia,Medium,True,13-17
P0943,Parent,35-44,Yes,False,No,Depression,Low,False,13-17
P0944,Parent,35-44,Yes,True,No,Insomnia,High,True,13-17
P0945,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,9-12
P0946,Parent,45-54,Yes,True,No,Depression; Eating Disorders,High,True,9-12
P0947,Parent,25-34,Want to but struggle,True,Unsure,None,Low,True,13-17
P0948,Parent,45-54,No,False,Yes,Academic Performance,Medium,False,13-17
P0949,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression,Medium,False,13-17
P0950,Parent,35-44,Yes,False,No,Insomnia; Depression,Low,True,13-17
P0951,Parent,35-44,Yes,True,Unsure,Insomnia,Medium,True,13-17
P0952,Parent,25-34,Yes,True,Unsure,Insomnia,High,False,9-12
P0953,Parent,35-44,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P0954,Parent,45-54,Yes,False,Unsure,Academic Performance,Medium,True,13-17
P0955,Parent,45-54,Yes,False,Unsure,Depression,Medium,True,13-17
P0956,Parent,35-44,Yes,True,Unsure,Eating Disorders,High,False,13-17
P0957,Parent,35-44,Yes,True,No,Insomnia; Depression; Aggression,Medium,True,13-17
P0958,Parent,35-44,Yes,True,No,Insomnia; Academic Performance; Aggression,Medium,True,9-12
P0959,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Medium,True,9-12
P0960,Parent,35-44,Yes,True,No,Eating Disorders,Medium,False,9-12
P0961,Parent,35-44,Want to but struggle,False,No,Aggression,Low,True,13-17
P0962,Parent,25-34,Want to but struggle,False,No,Insomnia; Academic Performance; Depression,Medium,True,13-17
P0963,Parent,45-54,Want to but struggle,True,No,None,Low,True,13-17
P0964,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P0965,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Medium,False,9-12
P0966,Parent,35-44,Want to but struggle,True,No,Insomnia,Medium,False,9-12
P0967,Parent,45-54,Yes,True,Unsure,None,Medium,False,13-17
P0968,Parent,35-44,Yes,True,No,Academic Performance,High,False,13-17
P0969,Parent,25-34,Yes,False,No,Academic Performance,Medium,True,9-12
P0970,Parent,35-44,Yes,True,No,None,High,True,13-17
P0971,Parent,35-44,Yes,True,Unsure,Depression; Eating Disorders,Medium,True,9-12
P0972,Parent,35-44,Yes,True,No,Insomnia; Academic Performance; Depression,High,False,13-17
P0973,Parent,35-44,Yes,False,Yes,Depression,Low,True,13-17
P0974,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,False,13-17
P0975,Parent,35-44,Yes,True,No,None,High,True,9-12
P0976,Parent,45-54,Want to but struggle,True,No,Insomnia,Medium,True,9-12
P0977,Parent,35-44,Yes,False,No,Academic Performance; Eating Disorders,Low,True,13-17
P0978,Parent,35-44,No,True,Unsure,Insomnia; Academic Performance,Low,True,13-17
P0979,Parent,45-54,Want to but struggle,True,No,Eating Disorders,Low,False,13-17
P0980,Parent,35-44,Want to but struggle,True,No,Academic Performance; Aggression,Medium,True,13-17
P0981,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P0982,Parent,25-34,Yes,True,No,None,Medium,False,13-17
P0983,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,False,13-17
P0984,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,False,13-17
P0985,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,True,13-17
P0986,Parent,35-44,Yes,True,No,Academic Performance; Depression,High,False,13-17
P0987,Parent,35-44,Want to but struggle,True,No,None,Medium,False,13-17
P0988,Parent,35-44,Yes,True,Unsure,Depression,High,True,9-12
P0989,Parent,35-44,Yes,False,Unsure,None,Low,True,13-17
P0990,Parent,35-44,Want to but struggle,False,No,Academic Performance,Low,True,9-12
P0991,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Medium,True,13-17
P0992,Parent,35-44,No,True,Unsure,None,Low,True,13-17
P0993,Parent,45-54,Yes,True,No,None,Medium,False,9-12
P0994,Parent,45-54,Yes,True,No,Depression,Medium,True,13-17
P0995,Parent,35-44,Yes,False,Unsure,None,Low,True,9-12
P0996,Parent,45-54,Yes,False,Yes,Insomnia,Low,True,9-12
P0997,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P0998,Parent,35-44,No,True,Unsure,Insomnia; Academic Performance,Medium,True,9-12
P0999,Parent,35-44,Yes,False,Unsure,None,Low,True,13-17
P1000,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Low,True,9-12
P1001,Parent,35-44,Want to but struggle,True,No,Depression; Eating Disorders,Medium,False,13-17
P1002,Parent,35-44,No,True,No,Academic Performance; Depression; Eating Disorders,Low,True,13-17
P1003,Parent,45-54,No,True,No,Insomnia; Aggression,Low,False,13-17
P1004,Parent,25-34,Yes,True,No,None,High,False,13-17
P1005,Parent,45-54,Want to but struggle,True,No,Eating Disorders,Medium,False,13-17
P1006,Parent,25-34,Want to but struggle,False,No,None,Medium,True,13-17
P1007,Parent,45-54,Yes,True,No,Eating Disorders,Medium,True,13-17
P1008,Parent,45-54,Want to but struggle,True,Unsure,Depression,Low,False,13-17
P1009,Parent,45-54,No,True,Unsure,Insomnia; Academic Performance; Eating Disorders,Low,True,13-17
P1010,Parent,45-54,Want to but struggle,True,No,Aggression,Low,False,13-17
P1011,Parent,45-54,Yes,True,No,Academic Performance; Eating Disorders,High,False,13-17
P1012,Parent,35-44,Want to but struggle,True,No,Eating Disorders; Aggression,Low,False,13-17
P1013,Parent,45-54,Want to but struggle,True,Unsure,None,Low,True,13-17
P1014,Parent,25-34,No,True,Unsure,None,Medium,True,9-12
P1015,Parent,35-44,Yes,False,No,Insomnia; Academic Performance,Low,True,13-17
P1016,Parent,45-54,Yes,False,No,Insomnia,Low,False,13-17
P1017,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Low,True,9-12
P1018,Parent,25-34,Yes,False,No,Insomnia,Low,True,9-12
P1019,Parent,35-44,No,False,Unsure,Insomnia; Eating Disorders,Low,False,13-17
P1020,Parent,45-54,Yes,True,Unsure,Insomnia; Depression,High,True,9-12
P1021,Parent,35-44,Yes,True,No,Insomnia; Academic Performance; Eating Disorders,Medium,True,9-12
P1022,Parent,35-44,Yes,True,No,None,Medium,True,9-12
P1023,Parent,35-44,Yes,False,No,None,Medium,True,13-17
P1024,Parent,35-44,Yes,False,No,Academic Performance,Low,True,13-17
P1025,Parent,35-44,Yes,True,No,None,Medium,True,13-17
P1026,Parent,35-44,Want to but struggle,True,Unsure,Depression,Low,False,13-17
P1027,Parent,35-44,Yes,False,No,Insomnia,Low,True,13-17
P1028,Parent,35-44,Want to but struggle,False,No,Academic Performance; Depression,Low,False,9-12
P1029,Parent,45-54,Want to but struggle,True,Unsure,None,Low,False,9-12
P1030,Parent,45-54,No,True,No,Insomnia; Depression; Aggression,Low,False,13-17
P1031,Parent,35-44,No,True,Unsure,Academic Performance,Low,False,9-12
P1032,Parent,35-44,Yes,True,Unsure,Insomnia,High,True,13-17
P1033,Parent,45-54,Yes,True,Unsure,None,Medium,False,9-12
P1034,Parent,35-44,Want to but struggle,False,Unsure,Aggression,Low,False,9-12
P1035,Parent,35-44,No,True,No,None,Low,True,13-17
P1036,Parent,35-44,Yes,True,Yes,Insomnia; Academic Performance; Depression; Aggression,Medium,False,9-12
P1037,Parent,35-44,Yes,True,Unsure,Insomnia,Medium,False,13-17
P1038,Parent,25-34,Yes,True,Yes,Insomnia,Medium,False,9-12
P1039,Parent,35-44,Yes,False,No,None,Low,False,13-17
P1040,Parent,45-54,Want to but struggle,False,No,Academic Performance,Medium,True,13-17
P1041,Parent,45-54,Want to but struggle,True,No,Insomnia; Depression,Low,True,13-17
P1042,Parent,45-54,Yes,True,Unsure,None,High,False,13-17
P1043,Parent,35-44,Yes,False,No,Depression,Medium,True,13-17
P1044,Parent,35-44,Yes,True,No,None,High,False,9-12
P1045,Parent,35-44,No,True,No,Eating Disorders,Low,False,13-17
P1046,Parent,35-44,Want to but struggle,False,No,Insomnia; Academic Performance,Low,True,13-17
P1047,Parent,45-54,Yes,True,Unsure,None,Medium,False,13-17
P1048,Parent,45-54,Yes,True,Unsure,Insomnia,High,False,13-17
P1049,Parent,35-44,Yes,False,No,None,Low,False,9-12
P1050,Parent,35-44,Want to but struggle,True,Unsure,Aggression,Low,True,9-12
P1051,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,False,13-17
P1052,Parent,25-34,Yes,True,Unsure,Academic Performance; Depression,Medium,False,13-17
P1053,Parent,25-34,No,True,Unsure,Depression,Medium,False,13-17
P1054,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Low,False,13-17
P1055,Parent,25-34,Want to but struggle,False,No,Insomnia,Low,False,13-17
P1056,Parent,35-44,Want to but struggle,False,No,Academic Performance,Low,False,13-17
P1057,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P1058,Parent,35-44,Want to but struggle,True,Unsure,Depression; Aggression,Low,True,9-12
P1059,Parent,35-44,Want to but struggle,False,No,Eating Disorders; Aggression,Medium,True,13-17
P1060,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P1061,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Low,True,13-17
P1062,Parent,25-34,Yes,False,No,Aggression,Low,True,13-17
P1063,Parent,35-44,Yes,True,No,Insomnia,Medium,False,9-12
P1064,Parent,35-44,Yes,False,No,Academic Performance; Depression,Low,False,13-17
